date,season,team,opponent,moneyLine,projectedRuns
2018-04-07,2018,SEA,MIN,149,3.21
2018-04-07,2018,WSH,NYM,-155,4.86
2018-04-07,2018,BAL,NYY,205,3.11
2018-04-07,2018,LAA,OAK,-114,4.79
2018-04-07,2018,MIA,PHI,155,3.33
2018-04-07,2018,CIN,PIT,116,3.7
2018-04-07,2018,HOU,SD,-325,6.88
2018-04-07,2018,MIN,SEA,-164,4.97
2018-04-07,2018,LAD,SF,-126,4.46
2018-04-07,2018,ARI,STL,-101,3.77
2018-04-07,2018,BOS,TB,-170,5.67
2018-04-07,2018,TOR,TEX,-126,4.74
2018-04-07,2018,TEX,TOR,116,3.94
2018-04-07,2018,NYM,WSH,140,3.33
2018-04-08,2018,STL,ARI,-165,4.67
2018-04-08,2018,COL,ATL,-155,6.69
2018-04-08,2018,NYY,BAL,-185,5.52
2018-04-08,2018,TB,BOS,170,2.96
2018-04-08,2018,MIL,CHC,104,4.17
2018-04-08,2018,PIT,CIN,-155,4.56
2018-04-08,2018,KC,CLE,184,2.64
2018-04-08,2018,ATL,COL,140,4.58
2018-04-08,2018,DET,CWS,155,3.14
2018-04-08,2018,CWS,DET,-175,5.09
2018-04-08,2018,SD,HOU,237,2.52
2018-04-08,2018,CLE,KC,-214,5.11
2018-04-08,2018,OAK,LAA,170,3.33
2018-04-08,2018,SF,LAD,205,2.62
2018-04-08,2018,PHI,MIA,-200,5.33
2018-04-08,2018,CHC,MIL,-114,4.53
2018-04-08,2018,WSH,NYM,-187,5.21
2018-04-08,2018,BAL,NYY,165,3.21
2018-04-08,2018,LAA,OAK,-190,5.9
2018-04-08,2018,MIA,PHI,170,2.96
2018-04-08,2018,CIN,PIT,140,3.13
2018-04-08,2018,HOU,SD,-277,6.25
2018-04-08,2018,LAD,SF,-245,5.68
2018-04-08,2018,ARI,STL,150,3.0
2018-04-08,2018,BOS,TB,-200,5.33
2018-04-08,2018,TOR,TEX,-112,4.75
2018-04-08,2018,TEX,TOR,102,4.46
2018-04-08,2018,NYM,WSH,167,3.0
2018-04-09,2018,SF,ARI,-105,4.1
2018-04-09,2018,WSH,ATL,-254,5.38
2018-04-09,2018,TOR,BAL,107,3.62
2018-04-09,2018,PHI,CIN,-131,5.1
2018-04-09,2018,DET,CLE,255,1.83
2018-04-09,2018,SD,COL,170,3.52
2018-04-09,2018,TB,CWS,-140,4.08
2018-04-09,2018,CLE,DET,-305,4.9
2018-04-09,2018,MIN,HOU,130,3.48
2018-04-09,2018,SEA,KC,-105,3.84
2018-04-09,2018,TEX,LAA,121,4.07
2018-04-09,2018,NYM,MIA,-235,5.26
2018-04-09,2018,STL,MIL,-148,4.77
2018-04-09,2018,HOU,MIN,-145,4.73
2018-04-09,2018,MIA,NYM,205,2.46
2018-04-09,2018,CIN,PHI,116,4.17
2018-04-09,2018,COL,SD,-190,6.22
2018-04-09,2018,KC,SEA,-105,3.84
2018-04-09,2018,ARI,SF,-105,4.1
2018-04-09,2018,MIL,STL,133,3.43
2018-04-09,2018,CWS,TB,125,3.11
2018-04-09,2018,LAA,TEX,-136,5.19
2018-04-09,2018,BAL,TOR,-117,4.04
2018-04-09,2018,ATL,WSH,214,2.39
2018-04-10,2018,SF,ARI,-102,3.79
2018-04-10,2018,WSH,ATL,-240,4.94
2018-04-10,2018,TOR,BAL,-135,5.17
2018-04-10,2018,NYY,BOS,117,3.23
2018-04-10,2018,PIT,CHC,132,3.88
2018-04-10,2018,PHI,CIN,-195,4.96
2018-04-10,2018,DET,CLE,182,3.01
2018-04-10,2018,SD,COL,135,4.47
2018-04-10,2018,TB,CWS,-110,4.45
2018-04-10,2018,CLE,DET,-212,5.78
2018-04-10,2018,MIN,HOU,143,3.29
2018-04-10,2018,SEA,KC,-105,4.35
2018-04-10,2018,TEX,LAA,128,4.39
2018-04-10,2018,OAK,LAD,113,3.99
2018-04-10,2018,NYM,MIA,-194,5.28
2018-04-10,2018,STL,MIL,-163,4.65
2018-04-10,2018,HOU,MIN,-158,4.9
2018-04-10,2018,MIA,NYM,174,2.92
