date,season,team,opponent,is_home,team_score,opp_score,target_win,moneyLine,projectedRuns,runs_scored,runs_allowed,wins,losses,ERA,wOBA,OPS,wRC+,FIP,avg_exit_velocity,avg_launch_angle,avg_xwOBA
2018-04-05,2018,WSH,NYM,1,2,8,0,-155.0,4.25,771,682,82,80,4.04,0.325,0.753,101,4.15,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-05,2018,BOS,TB,1,3,2,1,-230.0,6.27,876,647,108,54,3.75,0.34,0.792,111,3.82,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-05,2018,CWS,DET,1,7,9,0,-119.0,4.62,656,848,62,100,4.83,0.304,0.703,92,4.73,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-05,2018,MIN,SEA,1,4,2,1,-105.0,3.84,738,775,78,84,4.5,0.313,0.723,96,4.39,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-05,2018,NYY,BAL,1,2,5,0,-265.0,6.17,851,669,100,62,3.78,0.335,0.781,112,3.63,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-05,2018,OAK,TEX,1,3,6,0,-155.0,5.47,813,674,97,65,3.81,0.329,0.764,112,4.18,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-06,2018,COL,ATL,1,3,8,0,-152.0,5.43,780,745,91,72,4.33,0.325,0.757,88,4.06,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-06,2018,MIL,CHC,1,5,4,1,116.0,3.94,754,659,96,67,3.73,0.322,0.747,100,4.01,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-06,2018,PIT,CIN,1,14,3,1,111.0,3.79,692,693,82,79,4.0,0.312,0.725,95,4.06,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-06,2018,LAA,OAK,1,13,9,1,-131.0,5.1,721,722,80,82,4.15,0.313,0.726,98,4.36,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-06,2018,CLE,KC,1,3,2,1,-233.0,4.9,818,648,91,71,3.77,0.33,0.766,106,3.78,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-06,2018,HOU,SD,1,1,4,0,-288.0,6.31,797,534,103,59,3.11,0.327,0.754,110,3.23,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-06,2018,NYY,BAL,1,3,7,0,-181.0,6.12,851,669,100,62,3.78,0.335,0.781,112,3.63,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-06,2018,TEX,TOR,1,5,8,0,106.0,4.85,737,848,67,95,4.92,0.315,0.722,89,4.79,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,COL,ATL,1,3,2,1,-146.0,6.53,780,745,91,72,4.33,0.325,0.757,88,4.06,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,MIL,CHC,1,2,5,0,118.0,4.13,754,659,96,67,3.73,0.322,0.747,100,4.01,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,PHI,MIA,1,20,1,1,-175.0,5.41,677,728,80,82,4.14,0.307,0.707,91,3.83,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,PIT,CIN,1,4,7,0,-131.0,4.54,692,693,82,79,4.0,0.312,0.725,95,4.06,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,SF,LAD,1,7,5,1,116.0,3.7,603,699,73,89,3.95,0.29,0.667,82,3.98,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,STL,ARI,1,5,3,1,-109.0,3.91,759,691,88,74,3.85,0.316,0.73,99,3.97,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,WSH,NYM,1,2,3,0,-155.0,4.86,771,682,82,80,4.04,0.325,0.753,101,4.15,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,LAA,OAK,1,3,7,0,-114.0,4.79,721,722,80,82,4.15,0.313,0.726,98,4.36,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,BOS,TB,1,10,3,1,-170.0,5.67,876,647,108,54,3.75,0.34,0.792,111,3.82,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,CWS,DET,1,1,6,0,-119.0,4.35,656,848,62,100,4.83,0.304,0.703,92,4.73,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,CLE,KC,1,0,1,0,-245.0,5.33,818,648,91,71,3.77,0.33,0.766,106,3.78,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,HOU,SD,1,1,0,1,-325.0,6.88,797,534,103,59,3.11,0.327,0.754,110,3.23,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,MIN,SEA,1,4,11,0,-164.0,4.97,738,775,78,84,4.5,0.313,0.723,96,4.39,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,NYY,BAL,1,8,3,1,-235.0,6.66,851,669,100,62,3.78,0.335,0.781,112,3.63,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-07,2018,TEX,TOR,1,5,1,1,116.0,3.94,737,848,67,95,4.92,0.315,0.722,89,4.79,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,COL,ATL,1,0,4,0,-155.0,6.69,780,745,91,72,4.33,0.325,0.757,88,4.06,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,MIL,CHC,1,0,3,0,104.0,4.17,754,659,96,67,3.73,0.322,0.747,100,4.01,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,PHI,MIA,1,3,6,0,-200.0,5.33,677,728,80,82,4.14,0.307,0.707,91,3.83,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,PIT,CIN,1,5,0,1,-155.0,4.56,692,693,82,79,4.0,0.312,0.725,95,4.06,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,SF,LAD,1,1,2,0,205.0,2.62,603,699,73,89,3.95,0.29,0.667,82,3.98,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,STL,ARI,1,1,4,0,-165.0,4.67,759,691,88,74,3.85,0.316,0.73,99,3.97,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,WSH,NYM,1,5,6,0,-187.0,5.21,771,682,82,80,4.04,0.325,0.753,101,4.15,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,LAA,OAK,1,6,1,1,-190.0,5.9,721,722,80,82,4.15,0.313,0.726,98,4.36,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,BOS,TB,1,8,7,1,-200.0,5.33,876,647,108,54,3.75,0.34,0.792,111,3.82,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,CWS,DET,1,0,1,0,-175.0,5.09,656,848,62,100,4.83,0.304,0.703,92,4.73,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,CLE,KC,1,3,1,1,-214.0,5.11,818,648,91,71,3.77,0.33,0.766,106,3.78,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,HOU,SD,1,4,1,1,-277.0,6.25,797,534,103,59,3.11,0.327,0.754,110,3.23,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,NYY,BAL,1,7,8,0,-185.0,5.52,851,669,100,62,3.78,0.335,0.781,112,3.63,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-08,2018,TEX,TOR,1,4,7,0,102.0,4.46,737,848,67,95,4.92,0.315,0.722,89,4.79,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-09,2018,COL,SD,1,6,7,0,-190.0,6.22,780,745,91,72,4.33,0.325,0.757,88,4.06,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-09,2018,MIA,NYM,1,2,4,0,205.0,2.46,589,809,63,98,4.76,0.289,0.659,83,4.57,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-09,2018,PHI,CIN,1,6,5,1,-131.0,5.1,677,728,80,82,4.14,0.307,0.707,91,3.83,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-09,2018,SF,ARI,1,1,2,0,-105.0,4.1,603,699,73,89,3.95,0.29,0.667,82,3.98,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-09,2018,STL,MIL,1,4,5,0,-148.0,4.77,759,691,88,74,3.85,0.316,0.73,99,3.97,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-09,2018,WSH,ATL,1,2,0,1,-254.0,5.38,771,682,82,80,4.04,0.325,0.753,101,4.15,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-09,2018,BAL,TOR,1,1,7,0,-117.0,4.04,622,892,47,115,5.18,0.299,0.689,87,4.98,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-09,2018,CWS,TB,1,4,5,0,125.0,3.11,656,848,62,100,4.83,0.304,0.703,92,4.73,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-09,2018,CLE,DET,1,2,0,1,-305.0,4.9,818,648,91,71,3.77,0.33,0.766,106,3.78,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-09,2018,KC,SEA,1,10,0,1,-105.0,3.84,638,833,58,104,4.94,0.303,0.697,87,4.66,88.71894781048451,12.736806352394755,0.37544768766563263
2018-04-09,2018,MIN,HOU,1,0,2,0,130.0,3.48,738,775,78,84,4.5,0.313,0.723,96,4.39,88.71894781048451,12.736806352394755,0.37544768766563263
